caseid,task,start_timestamp,end_timestamp,resource
0,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Validar solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Homologacion por grupo de cursos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Revisar curso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Evaluacion curso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Validacion final,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Visto Bueno Cierre Proceso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,Transferir Creditos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
0,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
1,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
1,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
1,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
1,Validar solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
1,Homologacion por grupo de cursos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
1,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Validar solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Homologacion por grupo de cursos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Revisar curso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,Evaluacion curso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
2,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
3,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
3,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
3,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
3,Cancelar Solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
3,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
3,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Validar solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Homologacion por grupo de cursos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Revisar curso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,Evaluacion curso,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
4,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
5,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
5,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
5,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
5,Validar solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
5,Homologacion por grupo de cursos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
5,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
6,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
6,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
6,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
6,Cancelar Solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
6,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
7,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
7,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
7,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
7,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
7,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
8,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
8,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
8,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
8,Validar solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
8,Homologacion por grupo de cursos,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
8,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
9,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
9,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
9,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
9,Cancelar Solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
9,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
9,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
10,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
10,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
10,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
10,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
10,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
11,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
11,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
11,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
11,Cancelar Solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
11,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
11,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
12,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
12,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
12,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
12,Cancelar Solicitud,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
12,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
12,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
13,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
13,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
13,Radicar Solicitud Homologacion,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
13,Notificacion estudiante cancelacion soli,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
13,End,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
14,Start,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
14,Traer informacion estudiante - banner,2012-03-13 07:00:00,2012-03-13 07:00:00,SYSTEM
